Designator,Package,Quantity,Value,,SKU,MPL,LINK
C3;C25;C24;C21;C16;C15;C13;C10;C8,C_0603,9,1u,,302010139,CC0603KRX7R8BB105,
C4;C2;C1;C30;C29;C28;C27;C26;C23;C22;C20;C19;C18;C17;C14;C12;C11;C9,C_0603,18,.1u,,302010138,CC0603KRX7R9BB104,
C5,C_0603,1,10n,,302010140,CC0603KRX7R9BB103,
C7;C6,C_1206,2,10u,,302010181,CC1206KKX5R8BB106,
D7,SOT-23,1,AQ12,,,AQ12-02HTG,https://www.mouser.dk/ProductDetail/Littelfuse/AQ12-02HTG?qs=sGAEpiMZZMve4%2FbfQkoj%252BO8%252BdlPZkFIyKfTwteZshNI%3D
,,,,,,,
J2; J5; J7,JST_SH_SM04B-SRSS-TB_04x1.00mm_Angled,3,SPI; debug; BN080,,,PRT-14417,https://www.mouser.dk/ProductDetail/SparkFun/PRT-14417?qs=sGAEpiMZZMve4%2FbfQkoj%252BI5vo2WTHWUn4GsfUrx5%252BkU%3D
R14,R_0603,1,4.7k,,301010195,RC0603FR-074K7L,
Ri2cSDA2;Ri2cSCL2;Ri2cSDA1;Ri2cSCL1;R35;R34;R33;R32;R24;R23;R15;R13;R8;R7;R6;R5,R_0603_1608Metric_fabdesignatorsmall,16,500,,301010157,RC0603JR-07510RL,
Rterm2;Rterm1;R39;R38;R37;R36;R26;R21;R19;R18;R17;R11;R10;R9,R_0603,14,50,,301010225,RC0603FR-0751RL,
R40;R31;R30;R29;R28;R27;R25;R22;R20;R16;R12;R4;R3;R2;R1,R_0603,15,1M,,301010100,RC0603JR-071ML,
,,,,,,,
U1,SOT-23-5_HandSoldering,1,LP2985-3.3,,,LP2985AIM5-3.3/NOPB,https://www.mouser.dk/ProductDetail/Texas-Instruments/LP2985AIM5-33-NOPB?qs=sGAEpiMZZMsGz1a6aV8DcBojudwDyMGajn6ToUSUn%2F8%3D
U2,SOIC-8_3.9x4.9mm_P1.27mm,1,THVD1428DR,,,THVD1428DR,https://www.mouser.dk/ProductDetail/Texas-Instruments/THVD1428DR/?qs=%2Fha2pyFadujYer%252B4JNfTDX8WHGoHO3Edhn9n8elV3uN0Q8q2vgeA5w%3D%3D
U4;U3;U7,TSSOP-10_3x3mm_P0.5mm,3,"ADS1118IDGS
",,,ADS1118IDGSR,https://www.mouser.dk/ProductDetail/Texas-Instruments/ADS1118IDGSR/?qs=g5raLcSarOb4n6jVZI8bUw%3D%3D
U5,TQFP-32_7x7mm_Pitch0.8mm,1,ATmega328P-AU,,310010049,ATMEGA328P-AU,https://www.mouser.dk/ProductDetail/Microchip-Technology-Atmel/ATMEGA328P-AU?qs=sGAEpiMZZMtVoztFdqDXO3RbBx7FKCmV
Y1,Resonator_SMD_muRata_CSTNE,1,8MHz Resonator,,,CSTNE8M00GH5C000R0,https://www.mouser.dk/ProductDetail/81-CSTNE8M00GH5C000R
,,,,,,,
F1,Fuse_0603,1,Polyfuse,,,0ZCM0002FF2G,https://www.mouser.dk/ProductDetail/Bel-Fuse/0ZCM0002FF2G/?qs=uwxL4vQweFP1HsTv5MvQwA%3D%3D
,,,,,,,
L5;L6,ferrite_bead_handsolder-1206,2,Ferrite_Bead_Small,,(or similar),2512061527Y0,https://www.mouser.dk/ProductDetail/Fair-Rite/2512061527Y0/?qs=paL1wOLBYNeIaFTeu8c8WA%3D%3D