Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_Every","Arduino_Nano",127.000000,-55.000000,0.000000,top
"C1",".1u","C_0603_1608Metric_fabdesignatorsmall",133.151000,-141.345000,0.000000,top
"C2",".1u","C_0603_1608Metric_fabdesignatorsmall",135.904000,-134.320000,-90.000000,top
"C3",".1u","C_0603_1608Metric_fabdesignatorsmall",135.929000,-125.669000,-90.000000,top
"C4",".1u","C_0603_1608Metric_fabdesignatorsmall",135.929000,-128.997000,-90.000000,top
"C5",".1u","C_0603_1608Metric_fabdesignatorsmall",135.904000,-117.383000,-90.000000,top
"C6",".1u","C_0603_1608Metric_fabdesignatorsmall",135.904000,-120.711000,-90.000000,top
"C7","10u","C_1206_HandSoldering_silkscreenlabel",134.000000,-46.000000,-90.000000,top
"C8",".1u","C_0603_1608Metric_fabdesignatorsmall",135.879000,-108.788000,-90.000000,top
"C9",".1u","C_0603_1608Metric_fabdesignatorsmall",135.879000,-112.116000,-90.000000,top
"C16",".1u","C_0603_1608Metric_fabdesignatorsmall",133.151000,-132.682000,0.000000,top
"C17",".1u","C_0603_1608Metric_fabdesignatorsmall",133.176000,-124.031000,0.000000,top
"C18",".1u","C_0603_1608Metric_fabdesignatorsmall",133.151000,-115.750000,0.000000,top
"C19",".1u","C_0603_1608Metric_fabdesignatorsmall",133.126000,-107.150000,0.000000,top
"C20",".1u","C_0603_1608Metric_fabdesignatorsmall",135.904000,-142.983000,-90.000000,top
"C22",".1u","C_0603_1608Metric_fabdesignatorsmall",135.904000,-146.311000,-90.000000,top
"C25",".01u","C_0603_1608Metric_fabdesignatorsmall",138.457000,-144.520000,180.000000,top
"C26",".01u","C_0603_1608Metric_fabdesignatorsmall",138.482000,-127.206000,180.000000,top
"C27",".01u","C_0603_1608Metric_fabdesignatorsmall",138.457000,-135.857000,180.000000,top
"C28",".01u","C_0603_1608Metric_fabdesignatorsmall",138.457000,-118.920000,180.000000,top
"C29",".01u","C_0603_1608Metric_fabdesignatorsmall",138.444000,-110.345000,0.000000,top
"C34",".1u","C_0603_1608Metric_fabdesignatorsmall",135.904000,-137.648000,-90.000000,top
"C36",".1u","C_0603_1608Metric_fabdesignatorsmall",138.000000,-45.000000,90.000000,top
"D7","AQ12","SOT-23_handsoldering",129.915000,-38.900000,90.000000,top
"F1","Polyfuse","Fuse_0603_1608Metric",135.400000,-102.600000,0.000000,top
"J1","ethernet","PinSocket_1x08_P2.00mm_Vertical",128.665000,-33.950000,90.000000,top
"J2","TC1","PinSocket_1x02_P2.54mm_Vertical",142.000000,-145.790000,180.000000,top
"J3","TC2","PinSocket_1x02_P2.54mm_Vertical",142.025000,-134.607000,0.000000,top
"J4","TC3","PinSocket_1x02_P2.54mm_Vertical",142.025000,-126.210000,0.000000,top
"J5","TC4","PinSocket_1x02_P2.54mm_Vertical",142.025000,-117.670000,0.000000,top
"J6","TC5","PinSocket_1x02_P2.54mm_Vertical",142.025000,-109.095000,0.000000,top
"J7","BN080","JST_SH_SM04B-SRSS-TB_04x1.00mm_Angled",140.537500,-101.400000,90.000000,top
"L5","Ferrite_Bead_Small","ferrite_bead_1206",126.615000,-39.480000,90.000000,top
"R1","500","R_0603_1608Metric_fabdesignatorsmall",138.469000,-124.920000,180.000000,top
"R2","500","R_0603_1608Metric_fabdesignatorsmall",138.443500,-129.746000,180.000000,top
"R3","500","R_0603_1608Metric_fabdesignatorsmall",138.444000,-116.634000,180.000000,top
"R4","500","R_0603_1608Metric_fabdesignatorsmall",138.418500,-121.460000,180.000000,top
"R5","500","R_0603_1608Metric_fabdesignatorsmall",138.419000,-108.039000,180.000000,top
"R6","500","R_0603_1608Metric_fabdesignatorsmall",138.393500,-112.865000,180.000000,top
"R13","500","R_0603_1608Metric_fabdesignatorsmall",138.444000,-133.571000,180.000000,top
"R14","1M","R_0603_1608Metric_fabdesignatorsmall",129.836500,-132.682000,0.000000,top
"R15","500","R_0603_1608Metric_fabdesignatorsmall",138.418500,-138.397000,180.000000,top
"R16","1M","R_0603_1608Metric_fabdesignatorsmall",129.861500,-124.031000,0.000000,top
"R17","1M","R_0603_1608Metric_fabdesignatorsmall",129.836500,-115.750000,0.000000,top
"R18","1M","R_0603_1608Metric_fabdesignatorsmall",129.811500,-107.150000,0.000000,top
"R20","1M","R_0603_1608Metric_fabdesignatorsmall",129.836500,-141.345000,0.000000,top
"R23","500","R_0603_1608Metric_fabdesignatorsmall",138.444000,-142.234000,180.000000,top
"R24","500","R_0603_1608Metric_fabdesignatorsmall",138.418500,-147.060000,180.000000,top
"R53","10k","R_0603_1608Metric_fabdesignatorsmall",136.000000,-45.000000,-90.000000,top
"R54","10k","R_0603_1608Metric_fabdesignatorsmall",139.927500,-49.050000,180.000000,top
"R55","10R","R_0603_1608Metric_fabdesignatorsmall",141.110000,-40.500000,-90.000000,top
"R56","10R","R_0603_1608Metric_fabdesignatorsmall",139.240000,-40.530000,-90.000000,top
"R57","120r","R_1210_3225Metric_Pad1.30x2.65mm_HandSolder",139.750000,-37.100000,180.000000,top
"Ri2cSCL1","500","R_0603_1608Metric_fabdesignatorsmall",135.412500,-99.200000,0.000000,top
"Ri2cSCL2","500","R_0603_1608Metric_fabdesignatorsmall",132.312500,-99.200000,0.000000,top
"Ri2cSDA1","500","R_0603_1608Metric_fabdesignatorsmall",135.400000,-100.800000,0.000000,top
"Ri2cSDA2","500","R_0603_1608Metric_fabdesignatorsmall",132.300000,-100.800000,0.000000,top
"U1","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.878000,-145.028000,180.000000,top
"U2","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.878000,-136.365000,180.000000,top
"U3","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.903000,-127.714000,180.000000,top
"U4","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.878000,-119.428000,180.000000,top
"U5","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",130.853000,-110.833000,180.000000,top
"U6","~","SOT-5X3-8",140.090000,-44.300000,90.000000,top
