Designator,Package,Quantity,Value,JLC,SKU,MPN,LINK
"C1, C2, C3, C4, C5, C6, C8, C9, C16, C17, C18, C19, C20, C22, C34, C36",603,16,.1u,,302010139,CC0603KRX7R8BB105,
"C25, C26, C27, C28, C29",603,5,.01u,,302010138,CC0603KRX7R9BB104,
"R1, R2, R3, R4, R5, R6, R13, R15, R23, R24, Ri2cSCL1, Ri2cSCL2, Ri2cSDA1, Ri2cSDA2",603,14,500R,,301010157,RC0603JR-07510RL,
"R14, R16, R17, R18, R20",603,5,1M,,301010100,RC0603JR-071ML,
"R53, R54",603,2,10k,C25804,,,
"R55, R56",603,2,10R 330mW,,,CRCW060310R0JNEAHP,https://www.mouser.dk/ProductDetail/Vishay-Dale/CRCW060310R0JNEAHP?qs=k2%2FDWSARqgEB1LI%252BjPBTjg%3D%3D
F1,603,1,Polyfuse,,,0ZCM0002FF2G,https://www.mouser.dk/ProductDetail/Bel-Fuse/0ZCM0002FF2G/?qs=uwxL4vQweFP1HsTv5MvQwA%3D%3D
"U1, U2, U3, U4, U5",SOIC-8_3.9x4.9mm_P1.27mm,5,MAX31855KASA,,,MAX31855KASA+T,https://www.mouser.dk/ProductDetail/Maxim-Integrated/MAX31855KASA%2bT?qs=sGAEpiMZZMutXGli8Ay4kMz%2F8vT3s5a1RJ3RSyy%2FAOo%3D
U6,SOT-5X3-8,1,THVD1400,,,THVD1400DRLR,https://www.mouser.dk/ProductDetail/Texas-Instruments/THVD1400DRLR?qs=Rp5uXu7WBW8K0lJQrAqtrQ%3D%3D
D7,SOT-23,1,AQ12,,,,
J7,JST_SH_SM04B-SRSS-TB_04x1.00mm_Angled,1,BN080,,,PRT-14417,https://www.mouser.dk/ProductDetail/SparkFun/PRT-14417?qs=sGAEpiMZZMve4%2FbfQkoj%252BI5vo2WTHWUn4GsfUrx5%252BkU%3D