Designator,Mid X,Mid Y,Layer,Rotation
A1,127,-55,top,0
C1,133.151,-141.345,top,0
C2,135.904,-134.32,top,-90
C3,135.929,-125.669,top,-90
C4,135.929,-128.997,top,-90
C5,135.904,-117.383,top,-90
C6,135.904,-120.711,top,-90
C7,134,-46,top,-90
C8,135.879,-108.788,top,-90
C9,135.879,-112.116,top,-90
C16,133.151,-132.682,top,0
C17,133.176,-124.031,top,0
C18,133.151,-115.75,top,0
C19,133.126,-107.15,top,0
C20,135.904,-142.983,top,-90
C22,135.904,-146.311,top,-90
C25,138.457,-144.52,top,180
C26,138.482,-127.206,top,180
C27,138.457,-135.857,top,180
C28,138.457,-118.92,top,180
C29,138.444,-110.345,top,0
C34,135.904,-137.648,top,-90
C36,138,-45,top,90
D7,129.915,-38.9,top,90
F1,135.4,-102.6,top,0
J1,128.665,-33.95,top,90
J2,142,-145.79,top,180
J3,142.025,-134.607,top,0
J4,142.025,-126.21,top,0
J5,142.025,-117.67,top,0
J6,142.025,-109.095,top,0
J7,140.5375,-101.4,top,90
L5,126.615,-39.48,top,90
R1,138.469,-124.92,top,180
R2,138.4435,-129.746,top,180
R3,138.444,-116.634,top,180
R4,138.4185,-121.46,top,180
R5,138.419,-108.039,top,180
R6,138.3935,-112.865,top,180
R13,138.444,-133.571,top,180
R14,129.8365,-132.682,top,0
R15,138.4185,-138.397,top,180
R16,129.8615,-124.031,top,0
R17,129.8365,-115.75,top,0
R18,129.8115,-107.15,top,0
R20,129.8365,-141.345,top,0
R23,138.444,-142.234,top,180
R24,138.4185,-147.06,top,180
R53,136,-45,top,-90
R54,139.9275,-49.05,top,180
R55,141.11,-40.5,top,-90
R56,139.24,-40.53,top,-90
R57,139.75,-37.1,top,180
Ri2cSCL1,135.4125,-99.2,top,0
Ri2cSCL2,132.3125,-99.2,top,0
Ri2cSDA1,135.4,-100.8,top,0
Ri2cSDA2,132.3,-100.8,top,0
U1,130.878,-145.028,top,180
U2,130.878,-136.365,top,180
U3,130.903,-127.714,top,180
U4,130.878,-119.428,top,180
U5,130.853,-110.833,top,180
U6,140.09,-44.3,top,90